CustomerID,Category,SubCategory,OrderYear,OrderMonth,OrderWeekday,ShippingDuration,ShipModeFirstClass,ShipModeSecondClass,ShipModeStandardClass,SegmentEncoded,CityFreqEncoded,SalesLog,SalesScaled,SalesBinned,SalesPerShippingDay,Sales_mean,Sales_count,ShippingDuration_mean,Sales
CG-12520,Furniture,Bookcases,2017,11,2,3,False,True,False,0,0.005209929512718358,5.572001929355964,0.05092807902323443,Very High,65.49,229.75600000000003,5,1.4,261.96
CG-12520,Furniture,Chairs,2017,11,2,3,False,True,False,0,0.005209929512718358,6.597063843147503,0.8025712018142726,Very High,182.985,229.75600000000003,5,1.4,731.94
DV-13045,Office Supplies,Labels,2017,6,0,4,False,True,False,1,0.07436918990703852,2.7485521444115397,-0.3446449453419201,Low,2.924,124.387,9,4.222222222222222,14.62
SO-20335,Furniture,Tables,2016,10,1,7,False,False,True,0,0.0013280212483399733,6.86545041472046,1.1634352281957414,Very High,119.6971875,173.50503333333333,15,5.533333333333333,957.5775
SO-20335,Office Supplies,Storage,2016,10,1,7,False,False,True,0,0.0013280212483399733,3.15136756508544,-0.3322535012051803,Medium,2.796,173.50503333333333,15,5.533333333333333,22.368
BH-11710,Furniture,Furnishings,2015,6,1,5,False,False,True,0,0.07436918990703852,3.9092190780954117,-0.2898846139993839,Medium,8.143333333333333,260.63962499999997,24,4.25,48.86
BH-11710,Office Supplies,Art,2015,6,1,5,False,False,True,0,0.07436918990703852,2.1138429683971687,-0.35638387151172773,Low,1.2133333333333334,260.63962499999997,24,4.25,7.28
BH-11710,Technology,Phones,2015,6,1,5,False,False,True,0,0.07436918990703852,6.8114117654723865,1.0827892852017855,Very High,151.192,260.63962499999997,24,4.25,907.152
BH-11710,Office Supplies,Binders,2015,6,1,5,False,False,True,0,0.07436918990703852,2.970619572738916,-0.33843323018612537,Medium,3.084,260.63962499999997,24,4.25,18.504
BH-11710,Office Supplies,Appliances,2015,6,1,5,False,False,True,0,0.07436918990703852,4.752727750345706,-0.1842662646459643,High,19.150000000000002,260.63962499999997,24,4.25,114.9
BH-11710,Furniture,Tables,2015,6,1,5,False,False,True,0,0.07436918990703852,7.442600508432343,2.3606881483235536,Very High,284.364,260.63962499999997,24,4.25,1706.184
BH-11710,Technology,Phones,2015,6,1,5,False,False,True,0,0.07436918990703852,6.816104794316803,1.0896215321496625,Very High,151.904,260.63962499999997,24,4.25,911.424
AA-10480,Office Supplies,Paper,2018,4,6,5,False,False,True,0,0.003166819899887629,2.8065069404432417,-0.34315438959392813,Low,2.592,149.20933333333335,12,5.416666666666667,15.552
IM-15070,Office Supplies,Binders,2017,12,1,5,False,False,True,0,0.04351823475329451,6.0136564746144785,0.28445274436528345,Very High,67.996,234.7844761904762,21,4.476190476190476,407.976
HP-14815,Office Supplies,Appliances,2016,11,1,4,False,False,True,2,0.0027581979773214833,4.24577726598231,-0.2579784045868957,High,13.762,199.03140000000002,10,3.5,68.81
HP-14815,Office Supplies,Binders,2016,11,1,4,False,False,True,2,0.0027581979773214833,1.2652560327428346,-0.3639581977161159,Low,0.5088,199.03140000000002,10,3.5,2.544
PK-19075,Office Supplies,Storage,2015,11,2,7,False,False,True,0,0.0010215548064153642,6.502610119684893,0.6969208662860032,Very High,83.235,345.87735999999995,25,4.24,665.88
AG-10270,Office Supplies,Storage,2015,5,2,2,False,True,False,0,0.0005107774032076821,4.034240638152395,-0.27926520394931265,High,18.5,184.4927142857143,14,4.071428571428571,55.5
ZD-21925,Office Supplies,Art,2015,8,3,5,False,True,False,0,0.05107774032076821,2.25758772706331,-0.3543367563213526,Low,1.4266666666666667,165.99377777777778,9,3.7777777777777777,8.56
ZD-21925,Technology,Phones,2015,8,3,5,False,True,False,0,0.05107774032076821,5.3682164939277035,-0.026606408812225618,Very High,35.58,165.99377777777778,9,3.7777777777777777,213.48
ZD-21925,Office Supplies,Binders,2015,8,3,5,False,True,False,0,0.05107774032076821,3.1663185741295248,-0.3316905445278271,Medium,3.7866666666666666,165.99377777777778,9,3.7777777777777777,22.72
KB-16585,Office Supplies,Art,2017,12,5,4,False,False,True,1,0.0008172438451322913,3.0184717605234805,-0.3369042910283139,Medium,3.8920000000000003,119.33660869565219,23,4.391304347826087,19.46
KB-16585,Office Supplies,Appliances,2017,12,5,4,False,False,True,1,0.0008172438451322913,4.116432158686106,-0.2715245496357065,High,12.068000000000001,119.33660869565219,23,4.391304347826087,60.34
SF-20065,Furniture,Chairs,2018,7,0,2,False,True,False,0,0.05434671570129737,4.28181948425685,-0.2538809755886604,High,23.790666666666667,84.83844444444443,9,2.4444444444444446,71.372
EB-13870,Furniture,Tables,2016,9,6,5,False,False,True,0,0.0009193993257738277,6.952374853558705,1.302659052500535,Very High,174.10500000000002,251.56536363636363,11,5.181818181818182,1044.63
